Image File Name,Image Location,Title of Work,Interpretive Text,Creator,Year,Subject/Theme
counterpoint balance,https://www.dropbox.com/s/e8kkbhu0nmg5dhs/counterpoint%20balance.jpg?dl=0,Counterpoint balance,"A new aesthetic emerged in the ‘50s. Bruce Goff and his students wanted to explore new themes and motifs. Flying saucers, oneiric shapes, natural forms, vernacular buildings, and non-western architecture became sources of inspiration at the OU School of Architecture. As Goff declared: “We have need for accomplishment…We draw our own problems […] our aim is to develop architecture in this University for this part of the country. The copiers -the eclectics- learn how the Parthenon was built and follow its pattern…but they say, ‘you poor fools, you haven’t a chance.’ They expect to stand still. We expect to go forward.”",Donald Olsen,,class project-watercolor
Students_Burden_nodate_001,https://www.dropbox.com/s/6w52kchi4yxk1kr/Students_Burden_nodate_001.jpg?dl=0,Flower Shop in Norman,"This project proposal designed by Ernest Burden is a 2ndyear design problem for Arch 61, an intermediate design studio class taught during the second semester by William S. Burgett, who also taught history of architecture.  As described in the College Bulletin of 1954 in Arch 61 course the students dealt with problems of medium complexity, emphasizing closer coordination of design, structure and other elements. The Flower Shop is surrounded by nature but includes plants and flowers in the interior spaces as the section clearly shows. Looking at the plan the design is characterized by circular shapes. The domed volumes are something in between circus tents and futuristic vehicles immersed in a fantastic atmosphere.",Ernest Burden,1954,Class Project-Drawing
Students_Burden_nodate_002,https://www.dropbox.com/s/1fzg80739e2apg1/Students_Burden_nodate_002.jpg?dl=0,Flower Shop in Norman,"This project proposal designed by Ernest Burden is a 2ndyear design problem for Arch 61, an intermediate design studio class taught during the second semester by William S. Burgett, who also taught history of architecture.  As described in the College Bulletin of 1954 in Arch 61 course the students dealt with problems of medium complexity, emphasizing closer coordination of design, structure and other elements. The Flower Shop is surrounded by nature but includes plants and flowers in the interior spaces as the section clearly shows. Looking at the plan the design is characterized by circular shapes. The domed volumes are something in between circus tents and futuristic vehicles immersed in a fantastic atmosphere.",Ernest Burden,1954,Class Project-Drawing
Power_station_001,https://www.dropbox.com/s/kuyrj6ajnlw2rrj/Power_station_001.jpg?dl=0,An Atomic Power Station,"The Atomic Power Station designed by John Casper was not a building based on specific and real program. Fascinated by the atomic era, Casper developed a proposal probably intended for the Arch 273 course. The design highlighted the contrast between spherical architectural elements and rectilinear volumes assembled together. Moreover, the proposal shows the contrast between the building and site: the project looks like an imaginary animal lost in an inhospitable desert.",Casper,1960,Class Project-Drawing
Students_Loftis_1963_004,https://www.dropbox.com/s/7ezep1lg886jcbc/Students_Loftis_1963_004.jpg?dl=0,"Depth, Reflection, and Transparency","The school of architecture at OU promoted Frank Lloyd Wright’s work and his organic architectural philosophy. This project by Loftis is a clear homage to Wright’s principles and design motifs. The close relationship between building and nature, horizontal architectural elements, ornament integrated into the structure, the use of new and natural materials are all features of his “organic” approach. In this project the student proposed a wooden awning and a reinforced concrete building dealing with water and elevated flower beds used as architectural volumes. A series of windows makes the building permeable to sunlight.",Jim Loftis,1963,Class project-Drawing
Williams 19xx_001,https://www.dropbox.com/s/mgam35w2b7xq90h/Williams%2019xx_001.jpg?dl=0,Oklahoma City Air Terminal Main Floor Level ,"These three drawings by Gene Williams are taken from a set of 7 sheets on tracing paper. The assignment challenged students to “design an air terminal for Oklahoma City which would be adequate to serve present requirements, and which would be flexible enough to permit an independent expansion of all functions of the air terminal.” Everything in this design proposal recalls the movement and the circles drawn by airplane propellers. The functional requirements are organized into a three-level system of operation represented in the three plans selected for the exhibition. The main floor level is the ticket and check-in area where the passengers move to and from airplanes at a level just above ground level.  Four oval lounges characterize this level. 
The airplanes operate at ground level where the passengers and visitors can access the building using elevators. The ground level provides an area for trucks to service the air terminal without encountering passenger vehicles. All automobiles enter and leave the terminal at an underground level that is the lowest level and parking lot. 
",Gene Williams,1963,Class project-Drawing
 Williams 19xx_002,https://www.dropbox.com/s/omya3tndzzvvrju/Williams%2019xx_002.jpg?dl=0,Oklahoma City Air Terminal Main Floor Level ,"These three drawings by Gene Williams are taken from a set of 7 sheets on tracing paper. The assignment challenged students to “design an air terminal for Oklahoma City which would be adequate to serve present requirements, and which would be flexible enough to permit an independent expansion of all functions of the air terminal.” Everything in this design proposal recalls the movement and the circles drawn by airplane propellers. The functional requirements are organized into a three-level system of operation represented in the three plans selected for the exhibition. The main floor level is the ticket and check-in area where the passengers move to and from airplanes at a level just above ground level.  Four oval lounges characterize this level.",Gene Williams,1963,Class project-Drawing
Williams 19xx_003,https://www.dropbox.com/s/bezxvvgw6yra268/Williams%2019xx_003.jpg?dl=0,Oklahoma City Air Terminal Sub Floor Level ,"These three drawings by Gene Williams are taken from a set of 7 sheets on tracing paper. The assignment challenged students to “design an air terminal for Oklahoma City which would be adequate to serve present requirements, and which would be flexible enough to permit an independent expansion of all functions of the air terminal.” Everything in this design proposal recalls the movement and the circles drawn by airplane propellers. The functional requirements are organized into a three-level system of operation represented in the three plans selected for the exhibition. The main floor level is the ticket and check-in area where the passengers move to and from airplanes at a level just above ground level.  Four oval lounges characterize this level.",Gene Williams,1963,Class project-Drawing
Students_Faturoti_1966_001,https://www.dropbox.com/s/5bfcpntvcir4opj/Students_Faturoti_1966_001.jpg?dl=0,"Residence, Nigerian President, Ibadan","Although Frank Lloyd Wright’s theories on organic architecture were promoted at OU, the students were free to explore other architectural approaches. OU student Ebun Faturoti, who became a famous architect in Nigeria, designed a proposed house for the New President of the Federal Republic of Nigeria, established a few years before. The project is a well-balanced composition of volumes inspired by International Style motifs rather than organic architecture principles. The design solution consists of a series of structures and buildings. A ceremonial hall, that is the main building of the complex, is arranged between two courts in the middle of the composition.",Ebun Faturoti,1966,Class project-Mixed Media
Henderson_001,https://www.dropbox.com/s/wf25f85g3ci53be/Henderson_001.jpg?dl=0,A Crystal Palace ,"After Goff’s departure the school maintained its efforts to promote individual creativity.  
This drawing by Henderson represents an oneiric building proposal that explores in depth the concept of transparency through the use of colors. Henderson became an instructor at OU and is now a Professor Emeritus of Architecture. He is the author of Bruce Goff: Architecture of Discipline in Freedom, a book published by University of Oklahoma Press. 
",Arn Henderson,,Class Project-Drawing
Mortuary_001,https://www.dropbox.com/s/h26p6knakx2dtzv/Mortuary_001.jpg?dl=0,Mortuary and Chapel,"In 1952 nine students moved to OU from Kansas State University including John Hurtig, Norman Froelich, and Jim Gardner who became some of the best students in the design studio classes. Froelich designed these two elevations for a Mortuary and Chapel for the Arch 274 course, that was the continuation of Arch 273 during the second semester. 
The drawings show student’s skills and astonishing technique. They were included in 1956-1957 Annual Publication of the National Association of Students of Architecture in cooperation with the American Institute of Architects
The drawings show student’s skills and astonishing technique. They were included in 1956-1957 Annual Publication of the National Association of Students of Architecture in cooperation with the American Institute of Architects.

",Norman Froelich,1956,Class Project-Drawing
Mortuary_002,https://www.dropbox.com/s/c94v4taxphat430/Mortuary_002.jpg?dl=0,Mortuary and Chapel,"In 1952 nine students moved to OU from Kansas State University including John Hurtig, Norman Froelich, and Jim Gardner who became some of the best students in the design studio classes. Froelich designed these two elevations for a Mortuary and Chapel for the Arch 274 course, that was the continuation of Arch 273 during the second semester. 
The drawings show student’s skills and astonishing technique. They were included in 1956-1957 Annual Publication of the National Association of Students of Architecture in cooperation with the American Institute of Architects
The drawings show student’s skills and astonishing technique. They were included in 1956-1957 Annual Publication of the National Association of Students of Architecture in cooperation with the American Institute of Architects.
",Norman Froelich,1956,Class Project-Drawing
Gardner_001,https://www.dropbox.com/s/02nr0tozf4t65ug/Gardner_001.jpg?dl=0,Symmetrical Forms in Asymmetrical Arrangement,"Jim Gardner designed this abstract composition of symmetrical architectural volumes in asymmetrical arrangement as an assignment for the Arch 273 class taught by Bruce Goff. Gardner demonstrated the ability of an outstanding draftsman, creating truly original designs. The presentation board is still framed with a black cardboard prepared to display the drawing for the exhibitions organized at the School of Architecture. 
Some years after their graduation, John Hurtig, Norman Froelich and Jim Gardner opened an office together in Pueblo, Colorado.  
",James Gardner,,Class Project-Drawing
Gardner_002,https://www.dropbox.com/s/60lrcmiuu15jnpc/Gardner_002.jpg?dl=0,Gardner Family Residence,"The drawing of the residence of Mr. and Mrs, Gardner by James Gardner. Gardener depicted his professor Bruce Goff as the figure in front of the residence. ",James Gardner,1953,Class Project-Drawing
Mancini_001,https://www.dropbox.com/s/k08xlfceir36b1b/Mancini_001.jpg?dl=0,A Theatre on the Prairite for Julie Harris,Drawing of a theatere on the prairie for Julie Harris by Vincent Mancini for Architecture course 390,Vincent Mancini,,Class Project-Drawing
Mancini_002,https://www.dropbox.com/s/zn5o6r5j66nu481/Mancini_002.jpg?dl=0,A Theatre on the Prairite for Julie Harris,A perspective drawing of Vincent Mancini's theatre on the prairie. The show on the marquee is a nod to Mancini's then wife. ,Vincent Mancini,,Class Project-Drawing
,,,,,,
University of Oklahoma Architecture through the years,,,,,,
heffnerv2342_600dpi,https://www.dropbox.com/s/gfift1plhsr57rx/heffnerv2342_600dpi.tif?dl=0,Architecture Laboratory,"Class in the Architecture Laboratory November 11, 1934",Heffner,1934,Student work-photo
heffnerv4292_600,https://www.dropbox.com/s/1jzsmgsc862fhfg/heffnerv4292_600.tif?dl=0,Dr. Joseph Smay,"Dr. Joseph Smay, Director of the Architecture Department, in his office March 22, 1937",Heffner,1937,Arch. Dept-Photo
OU567_600,https://www.dropbox.com/s/zqd6ozddrdj4xoh/OU567_600.tif?dl=0,Students drawing outside Carpenter hall ,Students drawing outside of Carpenter Hall. ,,,Building-Photo
OU637_600,https://www.dropbox.com/s/gnr84pod7wnisfn/OU637_600.tif?dl=0,Gould Hall ,A couple stop and reflect on Gould Hall,,,Building-Photo
OUEMP73158-18_600,https://www.dropbox.com/s/hp590z002kts0js/OUEMP73158-18_600.tif?dl=0,Open House 1973,"School of Architecture open house October 27, 1973",,1973,Student work-Photo
OUEMP75543_600,https://www.dropbox.com/s/a907jvqa08ghqwm/OUEMP75543_600.tif?dl=0,Raymond Yeh,"Raymond Yeh, Architecture, October 27, 1975",,1975,Student work-Photo (professor)
OUEMP77571_24_600,https://www.dropbox.com/s/xqpw1zpz0ihlbks/OUEMP77571_24_600.tif?dl=0,School of Architecture 1977,"Architectuer students at work on drawing tables in the School of Architecture September 29, 1977",,1977,Student work-Photo
OUEMP82629-9_600,https://www.dropbox.com/s/d0uc8cgqy4ko2eq/OUEMP82629-9_600.tif?dl=0,Students with model,"Architecture students with drawings and model of Child Care Center, July 28, 1982",,1982,Student work-Photo
OUEMP82629-13_600,https://www.dropbox.com/s/xfevu88yqha5qia/OUEMP82629-13_600.tif?dl=0,Students with model,"Architecture students with drawings and model of Child Care Center, July 28, 1982",,1982,Student work-Photo
OUEMP82629-43_600,https://www.dropbox.com/s/df8uhj979vnqvnc/OUEMP82629-43_600.tif?dl=0,Students with model,"Architecture students with drawings and model of Child Care Center, July 28, 1982",,1982,Student work-Photo
OUEMP85457-2_600,https://www.dropbox.com/s/iy2b76d41lsqfic/OUEMP85457-2_600.tif?dl=0,National Convention Projects,"Architecture students with project for the National Convention, May 23, 1985",,1985,Student work-Photo
OUEMP86982_16_600,https://www.dropbox.com/s/lfsviva3kfove0v/OUEMP86982_16_600.tif?dl=0,Architecture Class Show,"Terry L. Patterson and Architecture class November 6, 1986",,1986,Student work-Photo
OUEMP89245-4a_600,https://www.dropbox.com/s/ivwhjmufm7s0tl6/OUEMP89245-4a_600.tif?dl=0,Architecture Photos ,"Architecture photo of students and projects March 22, 1989",,1989,Student work-Photo
OUEMP89245-23_600,https://www.dropbox.com/s/uiogoasmluxs2em/OUEMP89245-23_600.tif?dl=0,Architecture Photos ,"Architecture photo of students and projects March 22, 1989",,1989,Student work-Photo
OUPS1076_600,https://www.dropbox.com/s/xt0kwjl88humu5b/OUPS1076_600.tif?dl=0,Architecture Open House,Architecture 's Open House Exhibit Spring 1937,,1937,Student work-Photo
OUPS31186_600,https://www.dropbox.com/s/6dunbhn11fcsc6x/OUPS31186_600.jpg?dl=0,Architecture Students with professor,"Two students with a professor discussing an architectural drawing, December 1948",,1948,Student work-Photo
OUPS31187_600,   https://www.dropbox.com/s/bid8b4u6ueyz42t/OUPS31187_600.jpg?dl=0,Architecture Students with professor,"Two students with a professor discussing an architectural drawing, December 1948",,1948,Student work-Photo
OUPS31188_600,https://www.dropbox.com/s/chjjgbhobatjf5f/OUPS31188_600.jpg?dl=0,Architecture Student with model,"Architecture student balancing an architectural model on chairs, December, 1948",,1948,Student work-Photo
OUPS31189_600,https://www.dropbox.com/s/u2y5thgal28lutn/OUPS31189_600.jpg?dl=0,Two students discussing art ,"Two students discussing School of Architecture student work in a temporary art gallery, December 1948",,1948,Student work-Photo
OUPS31190_600,https://www.dropbox.com/s/gp5ni94hi5afhb9/OUPS31190_600.jpg?dl=0,Students assembling an architectural model,"Two students assembling a three-dimensional architectural model, December 1948",,1948,Student work-Photo
OUPS1087_600,https://www.dropbox.com/s/yhuuzuouan7hhju/OUPS1087_600.tif?dl=0,Female student working on a model ,A female student assembling a three dimensional building model in 1937,,,
OUPS6061_600,https://www.dropbox.com/s/2plfcchnyfvktxc/OUPS6061_600.jpg?dl=0,Architectural model,Architectural model made by students in the architecure department 1939.,,,
OUPS10238_600,https://www.dropbox.com/s/wxtveo7xcybrhbb/OUPS10238_600.tif?dl=0,Henry Kamphoefner,"Henry L. Kamphoefner, architecture professor, 1939",,,
OUPS10270_600,https://www.dropbox.com/s/97pbf7affucydin/OUPS10270_600.jpg?dl=0,Architecture Model,Architectural model made by students in the architecure department 1939.,,,
OUPS10272_600,https://www.dropbox.com/s/5ubpjwesqyoegn4/OUPS10272_600.jpg?dl=0,Architecture Model,Architectural model made by students in the architecure department 1939.,,,
OUPS10274_600,https://www.dropbox.com/s/l88649cdznt6kk9/OUPS10274_600.jpg?dl=0,Architecture Model,Architectural model made by students in the architecure department 1939.,,,
OUPS11379_600,https://www.dropbox.com/s/978b2h0myzc256c/OUPS11379_600.tif?dl=0,Joe Smay,"Joe Smay, head of the Architecture department working at a drafting table in 1937",,,
OUPS12537_600,https://www.dropbox.com/s/pwxu5luw3v8as7e/OUPS12537_600.jpg?dl=0,Stage Plan ,"Architecural drawing of the stage plan for the music shell, 1941.",,,
OUPS12539_600,https://www.dropbox.com/s/kr86kj9blqf4woe/OUPS12539_600.jpg?dl=0,Music Shell Model,"Architectural model of the Music Shell for a Small Town, 1941. ",,,
OUPS12541_600,https://www.dropbox.com/s/hpkds1vws6wpz7i/OUPS12541_600.tif?dl=0,Music Shell Model,"Front view of the Architecture model of the Music Shell for a Small Town, 1941. ",,,
OUPS6061_600,https://www.dropbox.com/s/2plfcchnyfvktxc/OUPS6061_600.jpg?dl=0,Garden Plan,"Detail of the landscape drawing for a formal garden by the library, 1939. ",,,
,,,,,,
,,,,,,
,,,,,,
Bruce Goff confers with students in the early 1950s in Building 604 on the North Base,https://www.dropbox.com/s/jzqkyjyluejrroa/Bruce%20Goff%20confers%20with%20students%20in%20the%20early%201950s%20in%20Building%20604%20on%20the%20North%20Base.jpg?dl=0,Bruce Goff confers with students in the early 1950s in Building 604 on the North Base, Bruce Goff confers with students in the early 1950s in Building 604 on the North Base,,,Photo 
Building 604 n. Campus,https://www.dropbox.com/s/tu0l5lxk12dy3lk/Building%20604%20n.%20Campus.jpg?dl=0,Building 604 n. Campus,Building 604 on North Campus was site of many architecture classes,,,Photo
Bruce Goff full,https://www.dropbox.com/s/a18ldnbyp2ap9b8/Bruce%20Goff%20full.jpg?dl=0,Bruce Goff full,Bruce Goff standing in front of a building,,,Photo 
Bruce Goff portrait ,https://www.dropbox.com/s/f5dxrbirl55q0lf/Bruce%20Goff%20portrait.jpg?dl=0,Bruce Goff ,Photographic portrait of Bruce Goff ,,,Photo 
"Frank Lloyd Wright visiting with Brice Goff and students, circa 1954",https://www.dropbox.com/s/oio9qrluedcjfyc/Frank%20Lloyd%20Wright%20visiting%20with%20Brice%20Goff%20and%20students%2C%20circa%201954.jpg?dl=0,,"Frank Lloyd Wright visiting with Brice Goff and students, circa 1954",,1954,Photo
Jerri Hodges Bonebrake secrtary to Bruce Goff in early 1950s with Christmas tree Bruce Goff designed,https://www.dropbox.com/s/6xpbqu8k43aoj78/Jerri%20Hodges%20Bonebrake%20secrtary%20to%20Bruce%20Goff%20in%20early%201950s%20with%20Christmas%20tree%20Bruce%20Goff%20designed.jpg?dl=0,Jerri Hodges-Bonebrake with a Goff designed Christmas Tree,Jerri Hodges Bonebrake secretary to Bruce Goff in early 1950s with Christmas tree Bruce Goff designed,,,Photo
Henderson1_600,https://www.dropbox.com/s/eo1ywgbv94h2c35/Henderson1_600.tif?dl=0,Bavinger House,Eugene Bavinger House designed by Bruce Goff,Henderson,,Photo
Henderson5_600,https://www.dropbox.com/s/dhu8s7ltumovbk7/Henderson5_600.tif?dl=0,Bavinger House,Eugene Bavinger House designed by Bruce Goff,Henderson,,Photo
Oklahoma Daily FLW visit,https://www.dropbox.com/s/eokg53u9a3n2t9u/Oklahoma%20Daily%20FLW%20visit.jpg?dl=0,Oklahoma Daily covers Frank Lloyd Wright visit ,transcribed text:  https://www.dropbox.com/s/r9w9l2lgwj9fufe/Oklahoma%20Daily%20Wright%20OU%20Daily%20article%201952.%20.docx?dl=0,Oklahoma Daily ,1952,image (newspaper article)
,,,,,,
,,,,,,
,,,,,,
Journal_01_1024x1024,https://www.dropbox.com/s/dwknendy1fivizc/Journal_01_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,January 1983,image (magazine cover) 
Journal_07_1024x1024,https://www.dropbox.com/s/61imvfjjut21uuw/Journal_07_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,June 1983,image (magazine cover) 
Journal_08_1024x1024,https://www.dropbox.com/s/rk76g1u997vacrh/Journal_08_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,July/Aug 1983,image (magazine cover) 
Journal_11_1024x1024,https://www.dropbox.com/s/xwtkx3s52lgxkl8/Journal_11_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,November 1983,image (magazine cover) 
Journal_15_1024x1024,https://www.dropbox.com/s/1v3c7gk97bug6t7/Journal_15_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,March 1984,image (magazine cover) 
Journal_17_1024x1024,https://www.dropbox.com/s/rg8vx8y36q1bqqa/Journal_17_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,May/June 1984,image (magazine cover) 
Journal_19_1024x1024,https://www.dropbox.com/s/i2d8ze4u455r920/Journal_19_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,August/September 1984,image (magazine cover) 
